blind_num,R-PRC,R-ERC,R-PHC,R-Sub,R-ant-HC,R-CA1,R-DG/CA3,R-post-HC,L-PRC,L-ERC,L-PHC,L-Sub,L-ant-HC,L-CA1,L-DG/CA3,L-post-HC
blind046,1098.229,953.842,2371.865,327.918,2058.718,315.362,619.277,329.395,1485.231,1042.099,2395.868,436.854,1772.898,322.748,596.013,196.825
blind103,1202.416,1112.678,1802.886,534.736,1688.775,280.662,362.645,322.023,1299.171,1150.346,1864.927,565.018,1500.066,313.16,406.96,319.807
blind115,1649.606,1612.678,1826.495,495.953,2327.618,266.625,316.479,387.752,1973.102,998.184,1554.33,310.94,1858.623,217.51,374.457,371.503
blind169,,,,,,,,,,,,,,,,
blind093,1577.987,1564.692,2400.032,640.353,1960.205,265.891,386.28,291.002,894.796,999.305,2781.88,586.806,1529.24,292.48,364.492,411.392
blind139,891.459,1034.004,2000.798,517.002,1677.303,300.6,371.872,561.686,977.873,1178.026,1802.122,506.662,1438.004,276.227,387.013,693.152
blind145,1704.614,995.958,1891.102,407.32,1373.736,209.015,395.503,435.386,1561.701,1021.808,2155.14,525.491,1258.519,226.74,408.428,341.957
blind085,1950.239,1238.241,1556.942,383.696,1693.211,275.862,485.99,308.36,1825.418,1090.524,1960.579,528.459,1396.668,353.045,505.194,274.016
blind153,1975.715,1336.839,2403.725,596.038,1869.359,305.036,512.947,408.807,2030.001,1402.573,2515.62,480.08,1764.11,265.152,562.432,533.997
blind016,959.791,1211.649,1573.186,315.006,1880.068,180.215,303.928,511.839,1273.69,975.671,1606.053,380.371,1626.364,227.853,379.263,260.72
blind173,,,,,,,,,,,,,,,,
blind165,,,,,,,,,,,,,,,,
blind119,1387.081,1472.02,2346.885,564.656,1556.589,304.67,431.709,517.755,1341.288,1265.952,2399.325,514.431,1532.584,281.405,362.65,488.58
blind149,1340.549,1210.926,1939.18,333.845,1742.345,231.919,331.998,609.341,1364.923,1264.105,1962.446,284.359,1273.337,278.819,558.008,336.061
blind135,1389.252,1430.981,1541.398,447.943,2369.705,188.336,238.928,415.077,1800.267,1308.378,1699.452,535.464,2091.633,236.343,345.651,372.978
blind070,1069.495,1119.35,1944.368,658.094,1938.829,322.4,534.747,611.931,543.611,714.228,1682.903,737.863,1581.715,371.886,623.749,554.32
blind027,1454.639,1471.996,1756.351,465.307,2063.97,226.006,386.648,134.791,1520.743,1062.082,2380.453,491.896,1474.95,273.276,638.136,347.134
blind031,1264.07,1177.287,1939.127,630.742,1290.289,320.172,456.439,509.247,1463.854,1053.576,1924.355,540.267,1250.775,287.675,524.757,273.272
blind089,1204.996,1311.352,1926.591,507.406,1215.336,258.504,392.187,429.485,994.87,1017.396,2297.359,567.6,1031.43,331.254,571.293,423.946
blind088,1388.884,1216.058,2120.439,495.951,1657.724,276.226,382.949,423.571,1423.597,1029.569,2087.203,484.872,1442.43,398.09,618.184,146.606
blind122,580.928,655.529,1764.943,727.914,1610.94,364.881,444.652,399.227,771.493,860.498,2281.242,701.324,1552.219,336.074,476.413,488.231
blind030,1376.341,1398.868,1728.274,529.93,1996.378,305.771,488.939,306.51,2005.61,1528.488,1659.217,481.184,1769.265,282.137,643.671,259.98
blind026,930.569,1270.3,1484.478,639.581,1884.771,295.788,444.605,163.219,936.477,1062.03,2154.709,681.309,1770.296,285.079,432.419,173.189
blind134,1002.61,1067.604,1517.393,393.289,1721.608,185.012,251.853,348.605,1141.092,852.31,1902.558,430.956,934.661,173.564,319.801,432.433
blind071,1080.501,1221.933,1784.34,317.208,1698.299,187.592,247.045,683.899,908.788,901.402,1971.563,394.387,1293.942,206.794,351.92,602.658
blind148,1411.765,970.104,2019.234,348.972,1877.43,262.929,399.194,683.91,1546.553,1267.007,1450.909,356.357,2103.431,272.899,474.897,349.71
blind118,1137.018,1480.819,2244.493,765.89,1919.894,358.203,560.938,374.821,1405.116,1572.031,2409.931,824.605,2077.947,396.608,628.148,340.477
blind164,,,,,,,,,,,,,,,,
blind172,,,,,,,,,,,,,,,,
blind152,951.663,978.99,2009.682,402.896,1340.896,264.043,513.314,323.868,809.486,675.064,1761.149,225.637,615.239,153.994,361.536,452.012
blind017,,,,,,,,,,,,,,,,
blind084,896.273,1217.188,1292.154,524.765,1360.104,232.654,373.724,287.31,1167.703,886.302,1250.424,426.902,1437.656,190.186,289.525,242.256
blind144,,,,,,,,,,,,,,,,
blind001,973.053,1373.352,2088.278,668.766,1967.893,300.594,523.639,295.055,1166.186,1106.363,2586.436,716.403,1624.462,312.78,609.312,367.434
blind092,706.812,872.252,2188.755,647.358,2088.31,365.962,492.996,346.39,329.403,231.173,2276.645,579.778,1937.272,320.171,377.41,350.083
blind138,994.487,1252.248,1774.788,530.294,1765.186,246.683,325.341,561.684,1259.634,1536.598,1857.877,567.592,1817.994,248.899,316.109,290.997
blind168,,,,,,,,,,,,,,,,
blind051,1256.325,1671.407,1535.878,386.647,1668.084,205.325,295.063,586.433,1385.577,1507.442,2203.554,360.427,1566.529,219.358,303.557,833.119
blind114,2060.97,1455.345,2020.718,652.893,2124.117,344.172,490.039,409.535,2045.46,1477.872,2170.647,617.811,1760.373,320.907,410.274,526.967
